Date,Suspects,ConfirmedCases,DeathsSivep,DeathsProAim,CtiUsage,Recovered,Location
2020-03-23,4743,477,30,30,67,0,sao paulo
2020-03-24,4572,484,36,36,67,0,sao paulo
2020-03-25,4300,537,41,41,67,0,sao paulo
2020-03-26,4621,565,50,50,67,0,sao paulo
2020-03-27,4621,572,62,62,67,0,sao paulo
2020-03-28,4621,579,74,74,67,0,sao paulo
2020-03-29,4621,586,86,86,67,0,sao paulo
2020-03-30,4311,593,100,100,67,0,sao paulo
2020-03-31,8274,1438,118,118,67,0,sao paulo
2020-04-01,8551,1503,141,141,67,0,sao paulo
2020-04-02,8003,1520,165,165,67,0,sao paulo
2020-04-03,7275,2321,180,180,67,0,sao paulo
2020-04-04,9069,2729,213,213,67,0,sao paulo
2020-04-05,9955,3612,219,219,67,258,sao paulo
2020-04-06,10383,3754,244,244,67,258,sao paulo
2020-04-07,12258,4503,297,297,67,258,sao paulo
2020-04-08,14611,5137,341,341,67,258,sao paulo
2020-04-09,16659,5832,386,386,67,258,sao paulo
2020-04-10,18859,6379,412,412,67,258,sao paulo
2020-04-11,19794,6585,422,422,67,258,sao paulo
2020-04-12,20622,6805,445,445,67,258,sao paulo
2020-04-13,20729,6831,456,456,67,982,sao paulo
2020-04-14,21104,6993,520,520,67,983,sao paulo
2020-04-15,28467,8024,563,563,67,983,sao paulo
2020-04-16,32859,8889,610,610,67,1711,sao paulo
2020-04-17,35410,9357,743,743,67,1986,sao paulo
2020-04-18,39302,10127,807,807,67,2805,sao paulo
2020-04-19,40542,10388,847,847,67,2907,sao paulo
2020-04-20,41215,10624,896,896,67,3607,sao paulo
2020-04-21,44003,10757,919,919,67,4218,sao paulo
2020-04-22,44144,10890,977,977,67,4855,sao paulo
2020-04-23,45518,11025,1006,1050,67,5373,sao paulo
2020-04-24,48130,12202,1035,1124,67,5550,sao paulo
2020-04-25,54663,13279,1118,1153,74,5687,sao paulo
2020-04-26,55402,13979,1133,1210,74,5698,sao paulo
